"Исполнитель","Количество_треков"
Iron Maiden,213
U2,135
Led Zeppelin,114
Metallica,112
Lost,92
Deep Purple,92
Pearl Jam,67
Lenny Kravitz,57
Various Artists,56
The Office,53
Iron Maiden,213
U2,135
Led Zeppelin,114
Metallica,112
Lost,92
Deep Purple,92
Pearl Jam,67
